User_ID,Frequencia,Valor_Total,Ticket_Medio,Categoria_Favorita,Recencia,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Cluster
1000101,66,1138265,17246.44,1,4088,F,18-25,3,A,1,0,4
1000102,87,640517,7362.26,8,4087,M,36-45,19,C,3,0,3
1000103,66,1016837,15406.62,1,4086,M,46-50,7,B,2,1,4
1000104,28,215030,7679.64,5,42933,M,26-35,12,C,3,1,2
1000105,41,636115,15515.0,1,4085,M,46-50,12,C,1,1,4
1000106,31,249390,8044.84,5,4084,F,36-45,11,C,4+,0,3
1000107,65,578540,8900.62,8,4083,M,46-50,18,C,4+,0,4
1000108,14,120872,8633.71,5,42918,M,26-35,12,C,3,0,2
1000109,44,468810,10654.77,1,4082,M,46-50,15,C,1,1,4
1000110,41,435598,10624.34,1,4081,M,26-35,2,B,4+,0,4
1000111,55,521270,9477.64,5,4080,M,36-45,15,C,3,0,4
1000112,30,413240,13774.67,3,4079,M,26-35,16,C,3,1,4
1000113,36,360080,10002.22,1,4078,M,18-25,12,C,2,0,4
1000114,52,418019,8038.83,3,4077,F,26-35,2,C,0,0,3
1000116,55,590875,10743.18,1,42901,M,26-35,17,C,2,1,2
1000117,283,2742646,9691.33,1,4076,M,26-35,17,A,2,1,1
1000118,119,1301643,10938.18,1,4075,M,36-45,17,C,4+,0,4
1000119,57,420927,7384.68,5,4074,F,0-17,10,C,1,0,3
1000120,33,344419,10436.94,1,4073,M,26-35,11,C,0,0,4
1000121,41,586434,14303.27,1,42854,M,36-45,7,C,2,0,4
1000122,26,271183,10430.12,1,42853,F,18-25,4,C,1,0,2
1000123,352,3237092,9196.28,8,42827,M,36-45,9,B,4+,1,1
1000124,15,135998,9066.53,8,4072,M,55+,7,C,1,1,4
1000125,36,504628,14017.44,1,42822,M,46-50,14,B,3,1,4
1000126,30,333612,11120.4,1,4071,M,18-25,9,B,1,0,4
1000127,100,1171261,11712.61,1,42811,F,46-50,3,C,1,1,2
1000128,13,139414,10724.15,5,4070,M,55+,6,A,1,1,4
1000129,85,1254181,14755.07,1,4069,M,26-35,11,C,2,0,4
1000130,80,1274878,15935.98,1,4068,M,36-45,17,B,3,1,4
1000131,153,1271991,8313.67,8,4067,M,18-25,4,C,4+,0,4
1000132,45,345438,7676.4,5,42779,M,26-35,17,C,1,0,2
1000133,93,801864,8622.19,8,4066,F,26-35,0,C,1,1,4
1000134,102,877630,8604.22,1,4065,M,26-35,0,C,3,1,4
1000135,39,360650,9247.44,5,4064,M,18-25,4,C,1,1,4
1000136,227,1562462,6883.09,5,42749,M,18-25,2,B,3,0,1
1000137,125,1273519,10188.15,1,4063,F,46-50,6,C,4+,1,4
1000138,37,593148,16031.03,6,4062,M,18-25,20,C,1,1,4
1000139,137,1500574,10953.09,1,4061,F,26-35,20,C,2,0,4
1000140,33,329084,9972.24,5,4060,F,36-45,1,B,3,0,4
1000141,13,115058,8850.62,8,120448,M,36-45,13,C,1,1,2
1000142,34,301459,8866.44,5,4059,M,26-35,7,A,2,0,4
1000143,37,375743,10155.22,1,4058,M,18-25,3,C,0,0,4
1000144,22,234047,10638.5,1,42722,M,26-35,17,C,1,1,2
1000145,29,195522,6742.14,8,42720,M,18-25,4,C,4+,0,2
1000146,238,2257255,9484.26,5,42706,F,36-45,20,B,3,1,1
1000147,95,1094887,11525.13,1,42702,M,18-25,4,B,4+,0,2
1000148,339,3617294,10670.48,1,4057,M,51-55,17,B,3,1,1
1000149,334,3775096,11302.68,1,4056,M,26-35,1,B,2,1,1
1000150,135,1226295,9083.67,8,4055,M,36-45,7,B,0,1,4
1000151,283,2560797,9048.75,5,42621,F,26-35,20,A,1,1,1
1000152,18,129138,7174.33,5,4054,M,18-25,4,A,3,0,3
1000153,15,125304,8353.6,5,4053,M,0-17,10,C,0,0,3
1000154,35,281466,8041.89,5,4052,M,51-55,20,A,4+,1,3
1000155,54,360236,6671.04,5,4051,M,36-45,12,C,4+,1,3
1000156,77,689084,8949.14,5,4050,F,46-50,7,C,4+,1,4
1000157,217,2228762,10270.79,5,42587,M,36-45,16,A,1,0,1
1000158,15,185073,12338.2,8,4049,M,55+,7,C,2,1,4
1000159,24,224129,9338.71,5,4048,F,46-50,0,A,1,1,4
1000160,10,84580,8458.0,8,4047,M,36-45,7,C,3,0,3
1000161,184,1884662,10242.73,8,42575,M,46-50,16,C,4+,1,2
1000162,55,686358,12479.24,1,42572,F,18-25,4,C,4+,0,2
1000163,271,1633731,6028.53,1,42553,M,18-25,4,A,1,0,1
1000164,18,155793,8655.17,8,81524,F,55+,13,C,1,0,2
1000165,57,602989,10578.75,1,42546,M,18-25,16,A,1,0,2
1000166,217,2073193,9553.88,8,4046,M,18-25,4,B,1,1,1
1000167,29,187087,6451.28,5,4045,F,26-35,11,B,4+,0,3
1000168,14,134698,9621.29,1,4044,F,51-55,0,C,0,1,4
1000169,313,2850607,9107.37,5,4043,M,26-35,7,B,3,0,1
1000170,43,537867,12508.53,1,4042,M,26-35,11,C,1,1,4
1000171,15,208924,13928.27,7,81484,F,51-55,17,B,1,1,2
1000172,15,213016,14201.07,10,42500,M,26-35,3,C,2,0,4
1000173,315,3204716,10173.7,8,4041,M,26-35,0,B,1,1,1
1000174,56,763377,13631.73,1,4040,M,26-35,16,C,2,0,4
1000175,171,1459135,8532.95,8,4039,F,26-35,2,B,1,0,4
1000176,40,319685,7992.12,5,4038,F,18-25,3,C,1,0,3
1000177,31,390156,12585.68,1,4037,M,51-55,1,B,3,1,4
1000178,67,540659,8069.54,5,4036,M,55+,17,A,2,1,3
1000179,67,486867,7266.67,1,4035,M,26-35,0,A,1,0,3
1000180,31,258592,8341.68,8,4034,M,46-50,12,C,4+,0,3
1000181,170,1788678,10521.64,1,4033,M,18-25,17,C,1,0,4
1000182,54,490892,9090.59,5,42424,M,18-25,4,C,0,0,2
1000183,64,660777,10324.64,5,42417,F,46-50,1,B,1,1,2
1000184,53,572948,10810.34,3,4032,F,26-35,0,C,4+,1,4
1000185,32,435741,13616.91,1,4031,M,46-50,0,C,0,0,4
1000186,59,652367,11057.07,3,4030,M,18-25,5,C,0,0,4
1000187,244,2253141,9234.18,8,4029,F,46-50,1,B,1,0,1
1000188,42,402282,9578.14,1,4028,M,55+,16,C,2,0,4
1000189,20,209997,10499.85,1,4027,M,18-25,0,B,2,0,4
1000190,81,778581,9612.11,5,4026,M,26-35,17,A,1,0,4
1000191,17,117371,6904.18,5,4025,M,18-25,4,C,1,1,3
1000192,285,2405988,8442.06,1,4024,M,18-25,1,B,2,0,1
1000193,137,1192531,8704.61,5,4023,F,46-50,15,C,1,1,4
1000194,36,261927,7275.75,5,4022,F,0-17,10,C,3,0,3
1000195,467,4532026,9704.55,8,4021,M,26-35,12,B,4+,1,1
1000196,20,227705,11385.25,5,4020,F,36-45,9,C,4+,0,4
1000197,17,143662,8450.71,8,4019,M,18-25,14,A,3,0,3
1000198,208,2114755,10167.09,1,4018,M,26-35,12,A,0,1,1
1000199,207,1825465,8818.67,1,4017,M,18-25,4,B,1,0,4
1000200,15,129710,8647.33,5,4016,F,18-25,4,C,0,0,4
1000201,52,465427,8950.52,5,4015,F,36-45,2,A,1,0,4
1000202,379,3195955,8432.6,5,42247,M,18-25,4,A,3,0,1
1000203,65,389087,5985.95,8,42240,F,18-25,4,B,1,1,2
1000204,246,2424484,9855.63,1,42217,M,26-35,7,B,1,1,1
1000205,84,923914,10998.98,5,42212,M,36-45,12,A,1,0,2
1000206,16,152712,9544.5,1,4014,M,26-35,17,C,1,0,4
1000207,13,113722,8747.85,5,42210,M,26-35,12,B,1,1,2
1000208,108,1110185,10279.49,1,42204,M,36-45,17,C,1,1,2
1000209,14,86769,6197.79,5,4013,M,36-45,1,B,4+,0,3
1000210,58,883230,15228.1,1,4012,F,0-17,10,C,0,0,4
1000211,21,224683,10699.19,1,81196,M,46-50,17,C,1,1,2
1000212,68,679386,9990.97,5,4011,M,26-35,16,C,3,0,4
1000213,10,98185,9818.5,1,4010,F,18-25,4,C,1,0,4
1000214,94,751975,7999.73,5,4009,M,18-25,20,C,1,0,3
1000215,16,237988,14874.25,1,42191,M,36-45,14,C,1,1,4
1000216,430,3140868,7304.34,5,4008,M,46-50,13,B,1,0,1
1000217,14,144915,10351.07,1,4007,M,18-25,4,A,1,0,4
1000218,50,381736,7634.72,5,4006,M,36-45,14,C,3,1,3
1000219,22,175671,7985.05,5,4005,F,26-35,4,A,0,0,3
1000220,57,620991,10894.58,5,4004,M,26-35,12,A,3,0,4
1000221,19,130967,6893.0,8,4003,F,26-35,0,B,2,1,3
1000222,39,428449,10985.87,1,4002,M,26-35,1,A,1,0,4
1000223,131,1125900,8594.66,5,4001,M,26-35,17,B,4+,0,4
1000225,293,2483266,8475.31,8,4000,M,26-35,7,A,0,0,1
1000226,10,93001,9300.1,1,81111,M,36-45,1,C,1,0,2
1000227,17,165449,9732.29,5,42112,M,36-45,20,B,0,0,2
1000228,22,233041,10592.77,1,3999,M,26-35,15,A,1,0,4
1000229,115,910223,7914.98,8,3998,M,18-25,10,C,1,0,3
1000230,100,1071526,10715.26,5,3997,M,46-50,1,C,1,0,4
1000231,55,627709,11412.89,1,3996,M,26-35,3,A,1,0,4
1000232,55,413883,7525.15,5,3995,M,26-35,20,A,1,1,3
1000233,28,273514,9768.36,8,42082,F,46-50,20,C,2,1,2
1000234,21,198175,9436.9,8,3994,M,36-45,7,C,2,0,4
1000235,268,2682668,10009.96,5,42061,M,26-35,0,B,0,0,1
1000236,32,373171,11661.59,1,42060,M,26-35,5,B,2,0,2
1000237,89,660317,7419.29,5,3993,M,26-35,6,C,1,1,3
1000238,140,1188533,8489.52,8,3992,F,51-55,7,B,0,0,4
1000239,39,373618,9579.95,8,3991,M,18-25,19,A,1,0,4
1000240,86,854532,9936.42,1,3990,M,51-55,17,A,1,1,4
1000241,28,335346,11976.64,1,3989,M,36-45,20,C,1,1,4
1000242,166,1533999,9240.96,1,3988,F,18-25,4,A,3,0,4
1000243,14,107183,7655.93,5,81010,M,26-35,16,C,1,0,2
1000244,51,541992,10627.29,5,3987,M,51-55,7,B,3,1,4
1000245,435,2958852,6801.96,1,41993,M,36-45,16,B,0,0,1
1000246,15,135040,9002.67,5,3986,F,18-25,4,C,1,0,4
1000247,22,179969,8180.41,8,3985,M,26-35,17,B,1,0,3
1000248,18,236168,13120.44,1,3984,M,18-25,17,B,1,1,4
1000249,63,684804,10869.9,5,3983,F,18-25,14,C,2,0,4
1000250,12,112588,9382.33,5,3982,M,36-45,16,C,1,0,4
1000251,41,414208,10102.63,1,3981,M,55+,17,A,0,1,4
1000252,29,368795,12717.07,1,3980,M,26-35,12,C,3,0,4
1000253,29,258950,8929.31,8,3979,F,26-35,11,C,1,0,4
1000254,13,114234,8787.23,11,3978,M,36-45,17,C,4+,0,4
1000255,130,1455520,11196.31,1,41975,M,36-45,0,C,1,1,2
1000256,56,860460,15365.36,1,3977,M,46-50,16,C,3,0,4
1000257,35,445132,12718.06,1,3976,M,18-25,18,A,1,0,4
1000258,76,783920,10314.74,1,3975,M,26-35,7,C,0,1,4
1000259,81,853248,10533.93,5,3974,M,26-35,1,B,4+,0,4
1000260,90,1134519,12605.77,1,3973,M,18-25,19,C,1,0,4
1000261,218,2043759,9375.04,1,3972,M,26-35,20,A,4+,0,1
1000262,62,639825,10319.76,1,41930,F,26-35,1,C,1,0,2
1000263,49,507106,10349.1,1,3971,F,26-35,7,C,1,0,4
1000264,275,2115392,7692.33,1,3970,M,36-45,0,B,1,1,1
1000265,53,414942,7829.09,5,3969,F,36-45,7,A,4+,1,3
1000266,32,310213,9694.16,8,3968,M,36-45,11,C,3,0,4
1000267,78,590162,7566.18,5,3967,M,46-50,12,C,1,1,3
1000268,143,1248334,8729.61,5,41886,F,18-25,12,C,1,0,2
1000269,16,119678,7479.88,8,80859,M,26-35,2,A,1,1,2
1000270,75,922239,12296.52,1,41879,M,51-55,14,B,2,1,2
1000271,188,1975959,10510.42,5,41870,M,18-25,4,C,1,0,2
1000272,280,2852181,10186.36,1,3966,M,18-25,0,A,1,0,1
1000273,117,1240386,10601.59,1,3965,M,18-25,4,B,2,1,4
1000274,79,866188,10964.41,8,3964,M,18-25,4,A,4+,0,4
1000275,53,544855,10280.28,5,3963,M,26-35,0,C,3,1,4
1000276,18,171897,9549.83,5,41828,M,46-50,16,C,4+,0,2
1000277,16,176033,11002.06,1,3962,F,36-45,1,C,2,0,4
1000278,114,859983,7543.71,11,3961,M,46-50,18,C,4+,1,3
1000279,27,234045,8668.33,1,3960,M,26-35,14,C,3,0,3
1000280,26,189891,7303.5,5,41811,M,51-55,7,C,0,1,2
1000281,65,596211,9172.48,8,41805,F,36-45,0,A,2,0,2
1000282,15,165095,11006.33,1,3959,M,26-35,17,C,4+,1,4
1000283,18,244862,13603.44,1,3958,M,26-35,0,B,1,0,4
1000284,275,2253516,8194.6,1,41778,M,26-35,12,B,3,1,1
1000285,70,771976,11028.23,8,3957,F,36-45,0,A,1,0,4
1000286,25,246138,9845.52,8,41772,M,26-35,1,C,3,0,2
1000287,65,571098,8786.12,8,3956,M,51-55,13,B,1,1,4
1000289,36,457657,12712.69,1,41765,F,26-35,0,C,1,0,2
1000290,18,161040,8946.67,8,3955,F,26-35,20,C,4+,0,4
1000291,55,468257,8513.76,8,41764,M,36-45,12,B,2,0,2
1000292,24,258693,10778.88,1,3954,M,36-45,7,C,0,1,4
1000293,176,1246978,7085.1,8,3953,M,55+,1,C,1,1,4
1000294,19,127443,6707.53,5,3952,F,46-50,9,C,3,1,3
1000295,105,1200333,11431.74,1,3951,M,18-25,0,C,4+,0,4
1000296,58,503233,8676.43,11,3950,M,51-55,5,C,4+,1,3
1000297,48,578712,12056.5,1,3949,M,18-25,2,C,3,1,4
1000298,15,137272,9151.47,5,3948,F,18-25,4,C,2,0,4
1000299,64,717925,11217.58,8,41726,M,26-35,12,C,4+,0,2
1000300,154,1789852,11622.42,1,41714,M,26-35,7,B,4+,1,2
1000301,204,1969774,9655.75,5,3947,M,18-25,4,B,4+,0,1
1000302,454,3225955,7105.63,5,41676,M,18-25,4,B,4+,0,1
1000303,125,1090742,8725.94,5,3946,M,26-35,7,C,1,1,4
1000304,14,182842,13060.14,10,3945,M,26-35,0,B,1,0,4
1000305,93,510332,5487.44,11,41666,F,18-25,0,B,3,1,2
1000306,113,1181761,10458.06,5,3944,M,18-25,0,C,3,0,4
1000307,114,1324203,11615.82,8,3943,M,51-55,16,B,0,1,4
1000308,322,2790537,8666.26,5,41626,M,26-35,2,A,3,1,1
1000309,65,734933,11306.66,1,3942,M,26-35,4,B,1,0,4
1000310,122,932125,7640.37,5,3941,F,18-25,4,C,1,0,3
1000311,11,165653,15059.36,1,80606,M,18-25,4,C,3,1,2
1000312,31,258132,8326.84,8,3940,F,51-55,2,B,0,0,3
1000313,14,128572,9183.71,1,3939,F,18-25,4,A,4+,0,4
1000314,174,1483498,8525.85,8,3938,F,55+,9,C,1,0,4
1000315,12,84882,7073.5,1,41603,F,55+,1,A,3,1,2
1000316,39,555750,14250.0,1,41601,M,55+,13,C,1,0,4
1000317,13,120376,9259.69,5,119257,M,36-45,7,C,3,0,2
1000318,13,121960,9381.54,8,41600,F,55+,13,A,1,1,2
1000319,420,3292557,7839.42,5,41571,F,51-55,6,B,3,1,1
1000320,8,91410,11426.25,1,80561,M,36-45,6,C,4+,0,2
1000321,135,1363801,10102.23,1,41557,M,18-25,4,B,3,0,2
1000322,18,180252,10014.0,5,3937,M,55+,17,A,3,1,4
1000323,60,556238,9270.63,5,3936,M,46-50,12,C,1,0,4
1000324,47,432511,9202.36,1,41545,M,36-45,17,B,0,1,2
1000325,26,195135,7505.19,5,3935,F,51-55,3,A,1,0,3
1000326,218,1774938,8141.92,5,41526,M,51-55,11,B,1,1,1
1000327,132,1257927,9529.75,8,3934,M,36-45,18,C,4+,0,4
1000328,32,360181,11255.66,1,41514,M,36-45,12,C,2,0,2
1000329,447,3007097,6727.29,5,3933,M,36-45,7,A,1,0,1
1000330,41,461751,11262.22,8,41470,M,55+,7,C,2,0,2
1000331,340,3269826,9617.14,8,3932,M,26-35,7,B,1,0,1
1000332,42,411182,9790.05,8,3931,M,51-55,1,C,3,1,4
1000333,137,867140,6329.49,5,3930,M,36-45,2,A,0,1,3
1000334,40,328953,8223.83,8,3929,F,55+,2,A,3,1,3
1000335,96,775920,8082.5,1,3928,M,36-45,18,C,0,1,3
1000336,58,745283,12849.71,1,3927,M,18-25,0,C,4+,0,4
1000337,100,1098232,10982.32,1,3926,M,18-25,19,C,0,0,4
1000338,203,2027171,9986.06,1,3925,M,36-45,7,A,1,0,1
1000339,71,626114,8818.51,8,3924,M,51-55,7,C,1,1,4
1000340,63,471450,7483.33,5,3923,F,26-35,3,C,1,1,3
1000341,11,138007,12546.09,1,3922,F,55+,13,C,2,1,4
1000342,71,758556,10683.89,1,41378,M,18-25,12,C,4+,0,2
1000343,157,1664154,10599.71,1,3921,F,36-45,3,B,2,0,4
1000344,54,531840,9848.89,1,3920,M,36-45,14,C,1,1,4
1000345,15,154703,10313.53,8,3919,M,26-35,12,A,2,1,4
1000346,174,1537496,8836.18,5,3918,F,26-35,0,B,2,0,4
1000347,60,511248,8520.8,8,3917,F,55+,1,A,1,0,3
1000348,56,458613,8189.52,1,3916,M,51-55,7,B,2,1,3
1000349,155,1446070,9329.48,1,3915,M,0-17,10,C,0,0,4
1000350,34,364420,10718.24,1,3914,M,46-50,20,C,3,0,4
1000351,64,735489,11492.02,1,3913,M,18-25,4,A,4+,0,4
1000352,487,4355896,8944.34,5,3912,M,18-25,4,A,0,0,1
1000353,14,170841,12202.93,6,3911,F,36-45,7,C,1,1,4
1000354,30,281002,9366.73,8,3910,M,36-45,1,A,1,0,4
1000355,251,2378946,9477.87,1,3909,M,18-25,3,B,2,0,1
1000356,13,142704,10977.23,11,3908,M,55+,20,C,0,1,4
1000357,37,331204,8951.46,8,41267,M,18-25,0,A,4+,0,2
1000359,21,207019,9858.05,1,3907,M,26-35,17,B,1,0,4
1000360,36,421379,11704.97,1,3906,M,36-45,17,C,1,0,4
1000361,11,77684,7062.18,8,3905,F,26-35,14,B,3,0,3
1000362,26,248504,9557.85,1,3904,M,36-45,20,B,1,0,4
1000363,27,308134,11412.37,5,41260,M,18-25,10,B,1,1,2
1000364,15,94626,6308.4,5,3903,F,36-45,1,C,3,0,3
1000365,27,184104,6818.67,5,3902,F,18-25,4,A,1,0,3
1000366,134,1410122,10523.3,5,41249,M,51-55,15,B,1,1,2
1000368,194,2040034,10515.64,1,3901,M,26-35,0,C,1,0,1
1000369,49,323035,6592.55,5,41225,M,36-45,1,B,2,0,2
1000370,36,383580,10655.0,1,3900,M,18-25,17,C,3,0,4
1000371,50,437078,8741.56,5,3899,M,18-25,4,B,4+,0,3
1000372,79,1059484,13411.19,1,41215,F,18-25,4,C,2,0,2
1000373,19,209633,11033.32,1,3898,F,26-35,2,C,1,1,4
1000374,28,403295,14403.39,1,3897,F,36-45,14,C,0,0,4
1000375,31,299011,9645.52,8,3896,M,26-35,2,B,1,0,4
1000376,56,534975,9553.12,5,3895,M,36-45,1,C,4+,1,4
1000377,78,920708,11803.95,1,3894,M,26-35,17,B,2,0,4
1000378,23,183133,7962.3,8,3893,F,18-25,0,A,1,1,3
1000379,41,382811,9336.85,5,41195,F,36-45,1,C,4+,0,2
1000380,86,729418,8481.6,5,3892,M,26-35,2,C,1,0,4
1000381,19,259681,13667.42,1,3891,M,36-45,17,C,2,0,4
1000382,35,296761,8478.89,5,3890,F,36-45,20,B,0,1,3
1000383,14,117923,8423.07,8,3889,F,26-35,7,A,4+,1,3
1000384,17,169138,9949.29,1,41179,M,26-35,11,B,3,1,2
1000385,73,840720,11516.71,1,3888,M,26-35,6,C,1,0,4
1000386,150,1161267,7741.78,5,3887,M,26-35,0,A,1,1,4
1000387,46,365501,7945.67,5,3886,F,36-45,7,C,0,0,3
1000388,36,283740,7881.67,8,3885,F,26-35,0,B,3,1,3
1000389,45,400856,8907.91,8,3884,M,26-35,6,C,0,0,4
1000390,124,946897,7636.27,11,3883,M,26-35,4,A,0,0,3
1000391,38,431481,11354.76,1,3882,M,46-50,11,C,2,1,4
1000392,268,2219577,8282.0,5,41128,M,18-25,7,A,0,0,1
1000393,40,335223,8380.58,5,41127,M,36-45,17,C,4+,0,2
1000394,19,231657,12192.47,1,41126,M,18-25,0,C,1,0,2
1000395,10,65645,6564.5,5,80144,M,18-25,5,A,0,0,2
1000396,96,689518,7182.48,5,3881,M,26-35,1,C,1,0,3
1000397,21,234870,11184.29,1,3880,M,36-45,17,B,2,0,4
1000398,125,1257763,10062.1,5,3879,M,26-35,17,B,3,1,4
